id_cliente;edad;importe_solicitado;duracion_credito;antiguedad_empleado;ingresos;pct_ingreso;tasa_interes;estado_credito;antiguedad_cliente;gastos_ult_12m;limite_credito_tc;operaciones_ult_12m;personas_a_cargo;situacion_vivienda_ALQUILER;situacion_vivienda_HIPOTECA;situacion_vivienda_OTROS;situacion_vivienda_PROPIA;objetivo_credito_EDUCACIÓN;objetivo_credito_INVERSIONES;objetivo_credito_MEJORAS_HOGAR;objetivo_credito_PAGO_DEUDAS;objetivo_credito_PERSONAL;objetivo_credito_SALUD;falta_pago_N;falta_pago_Y;regla_pct_ingresos_ok;estado_civil_CASADO;estado_civil_DESCONOCIDO;estado_civil_DIVORCIADO;estado_civil_SOLTERO;estado_cliente_ACTIVO;estado_cliente_PASIVO;genero_F;genero_M;nivel_educativo_DESCONOCIDO;nivel_educativo_POSGRADO_COMPLETO;nivel_educativo_POSGRADO_INCOMPLETO;nivel_educativo_SECUNDARIO_COMPLETO;nivel_educativo_UNIVERSITARIO_COMPLETO;nivel_educativo_UNIVERSITARIO_INCOMPLETO
713061558.0;22;35000;3;123.0;59000;0.59;16.02;1;36.0;1088.0;4010.0;24.0;2.0;True;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;True;False;False;True;False;False;False;False;True;False
768805383.0;21;1000;2;5.0;9600;0.1;11.14;0;39.0;1144.0;12691.0;42.0;3.0;False;False;False;True;True;False;False;False;False;False;True;False;True;True;False;False;False;True;False;False;True;False;False;False;True;False;False
713982108.0;23;35000;2;4.0;65500;0.53;15.23;1;36.0;1887.0;3418.0;20.0;3.0;True;False;False;False;False;False;False;False;False;True;True;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;False
710821833.0;24;35000;4;8.0;54400;0.55;14.27;1;54.0;1314.0;9095.0;26.0;1.0;True;False;False;False;False;False;False;False;False;True;False;True;True;True;False;False;False;True;False;False;True;True;False;False;False;False;False
769911858.0;21;2500;2;2.0;9900;0.25;7.14;1;34.0;1171.0;3313.0;20.0;4.0;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;False;True;False;True;False;False;False;False;True;False;False
709106358.0;26;35000;3;8.0;77100;0.45;12.42;1;21.0;816.0;4716.0;28.0;3.0;True;False;False;False;True;False;False;False;False;False;True;False;True;True;False;False;False;True;False;False;True;False;False;False;False;False;True
810347208.0;24;35000;4;5.0;78956;0.44;11.11;1;46.0;1330.0;34516.0;31.0;4.0;True;False;False;False;False;False;False;False;False;True;True;False;True;True;False;False;False;True;False;False;True;True;False;False;False;False;False
818906208.0;24;35000;2;8.0;83000;0.42;8.9;1;27.0;1538.0;29081.0;36.0;0.0;True;False;False;False;False;False;False;False;True;False;True;False;True;False;True;False;False;True;False;False;True;False;False;False;True;False;False
710930508.0;21;1600;3;6.0;10000;0.16;14.74;1;36.0;1350.0;22352.0;24.0;3.0;False;False;False;True;False;True;False;False;False;False;True;False;True;False;False;False;True;True;False;False;True;False;False;False;False;False;True
719661558.0;22;35000;4;6.0;85000;0.41;10.37;1;36.0;1441.0;11656.0;32.0;2.0;True;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;True;True;False;False;True;False;False;False;False;True;False
708790833.0;21;4500;2;2.0;10000;0.45;8.63;1;31.0;1201.0;6748.0;42.0;5.0;False;False;False;True;False;False;True;False;False;False;True;False;True;False;True;False;False;True;False;False;True;False;False;False;False;False;True
710599683.0;23;35000;2;2.0;95000;0.37;7.9;1;36.0;1539.0;11751.0;17.0;1.0;True;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;True;True;False;False;True;False;False;False;False;False;True
816082233.0;26;35000;4;4.0;108160;0.32;18.39;1;30.0;1311.0;8547.0;33.0;3.0;True;False;False;False;True;False;False;False;False;False;True;False;True;False;True;False;False;True;False;False;True;False;False;False;False;True;False
712396908.0;23;35000;4;2.0;115000;0.3;7.9;0;48.0;1570.0;2436.0;29.0;2.0;True;False;False;False;True;False;False;False;False;False;True;False;True;True;False;False;False;True;False;True;False;False;False;False;False;True;False
714885258.0;23;30000;3;7.0;500000;0.06;10.65;0;37.0;1348.0;4234.0;27.0;4.0;False;True;False;False;False;False;False;True;False;False;True;False;True;False;True;False;False;True;False;False;True;True;False;False;False;False;False
709967358.0;23;35000;4;0.0;120000;0.29;7.9;0;36.0;1671.0;30367.0;27.0;4.0;True;False;False;False;True;False;False;False;False;False;True;False;True;False;False;False;True;True;False;False;True;False;False;True;False;False;False
753327333.0;23;35000;4;7.0;92111;0.32;20.25;1;34.0;1028.0;13535.0;21.0;3.0;True;False;False;False;False;False;False;False;False;True;True;False;True;True;False;False;False;True;False;False;True;True;False;False;False;False;False
